Type,Model,GPU,Run,Metric,Value
Local,Mistral-7B-v0.3,A100-80GB,6,Energy,0.52473
Local,Mistral-7B-v0.3,A100-80GB,7,Energy,0.511575
Local,Mistral-7B-v0.3,A100-80GB,8,Energy,0.492642
Local,Mistral-7B-v0.3,A100-80GB,9,Energy,0.494739
Local,Mistral-7B-v0.3,A100-80GB,10,Energy,0.486633
Local,Mistral-7B-v0.3,A100-80GB,1,Time,00:59:36
Local,Mistral-7B-v0.3,A100-80GB,2,Time,00:59:47
Local,Mistral-7B-v0.3,A100-80GB,3,Time,00:59:57
Local,Mistral-7B-v0.3,A100-80GB,4,Time,01:02:00
Local,Mistral-7B-v0.3,A100-80GB,5,Time,01:00:48
Local,Mistral-7B-v0.3,A100-80GB,6,Time,01:00:42
Local,Mistral-7B-v0.3,A100-80GB,7,Time,01:00:39
Local,Mistral-7B-v0.3,A100-80GB,8,Time,00:59:36
Local,Mistral-7B-v0.3,A100-80GB,9,Time,00:59:49
Local,Mistral-7B-v0.3,A100-80GB,10,Time,01:00:17
Local,Mistral-7B-v0.3,A100-PCI,1,CO2eq,165.12558
Local,Mistral-7B-v0.3,A100-PCI,2,CO2eq,163.88233
Local,Mistral-7B-v0.3,A100-PCI,3,CO2eq,164.632509
Local,Mistral-7B-v0.3,A100-PCI,4,CO2eq,164.045033
Local,Mistral-7B-v0.3,A100-PCI,5,CO2eq,163.153827
Local,Mistral-7B-v0.3,A100-PCI,6,CO2eq,163.379359
Local,Mistral-7B-v0.3,A100-PCI,7,CO2eq,165.472664
Local,Mistral-7B-v0.3,A100-PCI,8,CO2eq,164.691198
Local,Mistral-7B-v0.3,A100-PCI,9,CO2eq,163.956281
Local,Mistral-7B-v0.3,A100-PCI,10,CO2eq,164.03595
Local,Mistral-7B-v0.3,A100-PCI,1,Distance,1.536052
Local,Mistral-7B-v0.3,A100-PCI,2,Distance,1.524487
Local,Mistral-7B-v0.3,A100-PCI,3,Distance,1.531465
Local,Mistral-7B-v0.3,A100-PCI,4,Distance,1.526
Local,Mistral-7B-v0.3,A100-PCI,5,Distance,1.51771
Local,Mistral-7B-v0.3,A100-PCI,6,Distance,1.519808
Local,Mistral-7B-v0.3,A100-PCI,7,Distance,1.539281
Local,Mistral-7B-v0.3,A100-PCI,8,Distance,1.532011
Local,Mistral-7B-v0.3,A100-PCI,9,Distance,1.525175
Local,Mistral-7B-v0.3,A100-PCI,10,Distance,1.525916
Local,Mistral-7B-v0.3,A100-PCI,1,Energy,0.433457
Local,Mistral-7B-v0.3,A100-PCI,2,Energy,0.430193
Local,Mistral-7B-v0.3,A100-PCI,3,Energy,0.432163
Local,Mistral-7B-v0.3,A100-PCI,4,Energy,0.43062
Local,Mistral-7B-v0.3,A100-PCI,5,Energy,0.428281
Local,Mistral-7B-v0.3,A100-PCI,6,Energy,0.428873
